Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
447;43.658996;-79.429693;1597.0;323 Rusholme Road;1;1.0;2.0;1597.000000;M6H
448;43.775092;-79.349064;1927.0;1650 Sheppard Avenue East;1;1.0;2.0;1927.000000;M2J
450;43.671813;-79.341539;2000.0;Toronto;1;1.0;2.0;2000.000000;M4K
452;43.691147;-79.471435;1850.0;2548 Eglinton Ave W;2;1.0;3.0;1233.333333;M6M
453;43.660835;-79.385856;750.0;Bay st and college st;1;1.0;2.0;750.000000;M5G
454;43.648573;-79.376275;1850.0;88 Scott St;1;1.0;2.0;1850.000000;M5E
455;43.664440;-79.374982;2100.0;Homewood Ave;2;1.0;3.0;1400.000000;M4X
458;43.638784;-79.398864;3500.0;85 Queens Wharf Rd;3;2.0;5.0;1400.000000;M5V
459;43.647624;-79.396861;2700.0;435 Richmond St W;1;1.0;2.0;2700.000000;M5V
461;43.639825;-79.412231;2250.0;26 Western Battery Rd;1;1.0;2.0;2250.000000;M6K
462;43.641340;-79.418139;3200.0;12 Sudbury St;2;2.0;4.0;1600.000000;M6J
466;43.653164;-79.390031;2099.0;96 St Patrick Street;1;1.0;2.0;2099.000000;M5T
467;43.763487;-79.345984;2000.0;20 Graydon Hall Drive;3;2.0;5.0;800.000000;M3A
468;43.643485;-79.392305;2300.0;352 Front St W;1;1.0;2.0;2300.000000;M5V
471;43.660605;-79.378635;2300.0;89 McGill St;1;1.5;2.5;1840.000000;M5B
472;43.661063;-79.351542;2500.0;85 Hamilton St;1;1.0;2.0;2500.000000;M4M
473;43.645613;-79.382585;3200.0;York Street;2;2.0;4.0;1600.000000;M5J
475;43.661063;-79.351542;2500.0;85 Hamilton St;1;1.0;2.0;2500.000000;M4M
